ts_unix,iteration,kem_alg,sig_alg,hello_bytes,response_bytes,verify_time_ms,verify_ok,encaps_time_ms,receiver_total_ms,kem_pk_bytes,kem_ct_bytes,mem_recv_rss_kb,cpu_recv_user_ms,cpu_recv_sys_ms
1779643468.477225,5,ML-KEM-768,ML-DSA-87,11359,1649,0.056786999721225584,1,0.014405000001715962,0.13138499980414053,1184,1088,26368,0.0,0.0
1779643468.4777374,6,ML-KEM-768,ML-DSA-87,11359,1649,0.05695199979527388,1,0.014409999948838959,0.13032600008955342,1184,1088,26368,0.0,0.0
1779643468.4782422,7,ML-KEM-768,ML-DSA-87,11359,1649,0.059609999880194664,1,0.014993000149843283,0.13894399990022066,1184,1088,26368,0.0,0.0
1779643468.478699,8,ML-KEM-768,ML-DSA-87,11359,1649,0.061392999668896664,1,0.015070999779709382,0.14176400009091594,1184,1088,26368,0.0,0.0
1779643468.4792225,9,ML-KEM-768,ML-DSA-87,11359,1649,0.057279999964521267,1,0.015310999970097328,0.13365299992074142,1184,1088,26368,0.0,0.0
1779643468.4798872,10,ML-KEM-768,ML-DSA-87,11360,1650,0.056648000281711575,1,0.01524700019217562,0.12867899977209163,1184,1088,26368,0.0,0.0
1779643468.4806287,11,ML-KEM-768,ML-DSA-87,11360,1650,0.08440300007350743,1,0.023810000129742548,0.2131759997610061,1184,1088,26368,0.0,0.0
1779643468.4812036,12,ML-KEM-768,ML-DSA-87,11360,1650,0.062229999912233325,1,0.015840000287425937,0.14051299967832165,1184,1088,26368,0.0,0.0
1779643468.4819448,13,ML-KEM-768,ML-DSA-87,11360,1650,0.06322999979602173,1,0.030220999633456813,0.2600709999569517,1184,1088,26368,0.0,0.0
1779643468.482438,14,ML-KEM-768,ML-DSA-87,11360,1650,0.05749000001742388,1,0.014905999705661088,0.13697400027012918,1184,1088,26368,0.0,0.0
1779643468.4829113,15,ML-KEM-768,ML-DSA-87,11360,1650,0.07005899988143938,1,0.0172129998645687,0.15476599992325646,1184,1088,26368,0.0,0.0
1779643468.4833767,16,ML-KEM-768,ML-DSA-87,11360,1650,0.05681399989043712,1,0.013905000287195435,0.1282389998777944,1184,1088,26368,0.0,0.0
1779643468.483891,17,ML-KEM-768,ML-DSA-87,11360,1650,0.06651099965893081,1,0.01697000016065431,0.15089799990164465,1184,1088,26368,0.0,0.0
1779643468.484319,18,ML-KEM-768,ML-DSA-87,11360,1650,0.05703799979528412,1,0.013992999811307527,0.12851799965574173,1184,1088,26368,0.0,0.0
1779643468.4847565,19,ML-KEM-768,ML-DSA-87,11360,1650,0.05668799985869555,1,0.01384899996992317,0.12600699983522645,1184,1088,26368,0.0,0.0
1779643468.485259,20,ML-KEM-768,ML-DSA-87,11360,1650,0.0604050001129508,1,0.01544700035083224,0.1442459997633705,1184,1088,26368,0.0,0.0
1779643468.630015,1,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12267,1649,0.22269800001595286,1,0.05043200008003623,0.4895480001323449,1184,1088,26368,0.0,0.0
1779643468.772812,2,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12267,1649,0.19752100024561514,1,0.043060999814770184,0.43325800015736604,1184,1088,26368,0.0,0.0
1779643468.9145467,3,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12267,1649,0.1897699999062752,1,0.04334599998401245,0.41998699998657685,1184,1088,26368,0.0,0.0
1779643469.0658455,4,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12267,1649,0.186898999800178,1,0.04781699999512057,0.4483479997361428,1184,1088,26368,0.0,0.0
1779643469.211375,5,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12267,1649,0.23956799986990518,1,0.04697699978351011,0.49407300002712873,1184,1088,26368,0.0,0.0
1779643469.35912,6,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12267,1649,0.17830200022217468,1,0.043214000015723286,0.4409379998833174,1184,1088,26368,0.0,0.0
1779643469.5062351,7,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12267,1649,0.20406700014063972,1,0.045991999741090694,0.483434999750898,1184,1088,26368,0.0,0.0
1779643469.6510613,8,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12267,1649,0.1738660002956749,1,0.0418790000367153,0.40279399991050013,1184,1088,26368,0.0,0.0
1779643469.7909214,9,ML-KEM-768,SPHINCS+-SHA2-128s-simple,12267,1649,0.18813399992723134,1,0.04253999986758572,0.40588199999547214,1184,1088,26368,0.0,0.0
