ts_unix,iteration,kem_alg,sig_alg,hello_bytes,response_bytes,kem_keygen_ms,sig_keygen_ms,sign_time_ms,decaps_time_ms,sender_total_ms,shared_secret_match,kem_pk_bytes,mem_send_rss_kb,cpu_send_user_ms,cpu_send_sys_ms
1779643468.4767537,4,ML-KEM-768,ML-DSA-87,11359,1649,0.016169999980775174,0.0562239997634606,0.15451099989149952,0.01459399982195464,0.47851799990894506,1,1184,26368,0.0,0.0
1779643468.477224,5,ML-KEM-768,ML-DSA-87,11359,1649,0.016512999991391553,0.056257999858644325,0.07120000009308569,0.014964000001782551,0.3940010001315386,1,1184,26368,0.0,0.0
1779643468.4777367,6,ML-KEM-768,ML-DSA-87,11359,1649,0.017272000150114764,0.0598619999436778,0.10144799989575404,0.014971000382502098,0.43195099988224683,1,1184,26368,0.0,0.0
1779643468.4782412,7,ML-KEM-768,ML-DSA-87,11359,1649,0.01583599987498019,0.0555970000277739,0.09750399976837798,0.015078000160428928,0.43869799992535263,1,1184,26368,0.0,0.0
1779643468.4786983,8,ML-KEM-768,ML-DSA-87,11359,1649,0.013686000329471426,0.055856000017229235,0.07190799988165963,0.0162859996635234,0.4081359998053813,1,1184,26368,0.0,0.0
1779643468.479222,9,ML-KEM-768,ML-DSA-87,11359,1649,0.0196969999706198,0.061869999626651406,0.08942900012698374,0.014871000075800112,0.42851599982896005,1,1184,26368,0.0,0.0
1779643468.479886,10,ML-KEM-768,ML-DSA-87,11360,1650,0.014292999821918784,0.05497499978446285,0.08442200032732217,0.01535299998067785,0.5618969998977263,1,1184,26368,0.0,0.0
1779643468.4806275,11,ML-KEM-768,ML-DSA-87,11360,1650,0.03159000016239588,0.06329100006041699,0.1672639996286307,0.021724000362155493,0.667968000016117,1,1184,26368,0.0,0.0
1779643468.4812026,12,ML-KEM-768,ML-DSA-87,11360,1650,0.02065799981210148,0.08221099960792344,0.1222129999405297,0.016362000224035,0.5098060000818805,1,1184,26368,9.999999999999787,0.0
1779643468.4819438,13,ML-KEM-768,ML-DSA-87,11360,1650,0.019298000097478507,0.06187700000737095,0.11370499987606308,0.017331999970338074,0.629919999937556,1,1184,26368,0.0,0.0
1779643468.4824374,14,ML-KEM-768,ML-DSA-87,11360,1650,0.017656999716564314,0.05879400032426929,0.08607099971413845,0.014984999779699137,0.4266420000931248,1,1184,26368,0.0,0.0
