ts_unix,alg_family,alg_name,seq,msg_id,body_bytes,stanza_bytes,pk_b64_bytes,sig_b64_bytes,sig_keygen_time_ms,sign_time_ms,serialize_time_ms,rtt_ms,net_baseline_rtt_ms,receipt_ok,mem_rss_kb,mem_delta_kb,cpu_user_ms,cpu_sys_ms
1779643435.4336832,ML-DSA,ML-DSA-65,87,ab8a2c1540774fe6ad8560f3777bbb5c,34,7368,2604,4412,0.08255199963969062,0.10013100018113619,0.1923900003930612,8.062119999976858,2.311989200006792,1,35876,0,0.0,0.0
1779643435.4926405,ML-DSA,ML-DSA-65,88,8b2aeff00bd64dcd9fb5af199c284595,34,7368,2604,4412,0.12574299989864812,0.09297599990532035,0.5350200003704231,7.468075000360841,2.311989200006792,1,35880,0,0.0,0.0
1779643435.5518491,ML-DSA,ML-DSA-65,89,551bdc0d3eea4618b45fd210d37fb0d5,34,7368,2604,4412,0.11363299972799723,0.14678300021842006,0.2459679999446962,8.116602999962197,2.311989200006792,1,35880,0,0.0,0.0
1779643435.6123745,ML-DSA,ML-DSA-65,90,cde8bc6a089342ff98d8801d7a77a1ea,34,7368,2604,4412,0.16302600033668568,0.47048300029928214,0.33942700019906624,8.832249000079173,2.311989200006792,1,35880,0,10.000000000000009,0.0
1779643435.671927,ML-DSA,ML-DSA-65,91,1fab6b229d1e4ceb909f841c5ad74c78,34,7368,2604,4412,0.10844200005521998,0.11416000006647664,0.2369049998378614,8.311989000048925,2.311989200006792,1,35880,0,0.0,0.0
1779643435.7312686,ML-DSA,ML-DSA-65,92,89161fc887164e7da7cda3aa6f2c3c28,34,7368,2604,4412,0.1506099997641286,0.44332900006338605,0.30139700038489536,7.6233730001149524,2.311989200006792,1,35880,0,0.0,0.0
1779643435.7908566,ML-DSA,ML-DSA-65,93,6f9e48ff231c4886872842065270884c,34,7368,2604,4412,0.08052699968175148,0.06561400005011819,0.19909699994968832,8.681665000040084,2.311989200006792,1,35880,0,0.0,0.0
1779643435.8521569,ML-DSA,ML-DSA-65,94,5578eef0132945f6834d6f090e481039,34,7368,2604,4412,0.1909100001284969,0.2833710000231804,0.41999299992312444,9.460689000206912,2.311989200006792,1,35880,0,0.0,0.0
1779643435.9146235,ML-DSA,ML-DSA-65,95,18526874789d4360981348d857082f7a,34,7368,2604,4412,0.1970199996321753,0.28710400010822923,0.3943990000152553,10.599607000131073,2.311989200006792,1,35880,0,0.0,0.0
1779643435.9740405,ML-DSA,ML-DSA-65,96,ca228ce5f2cc4d6c96401208f17b71e0,34,7368,2604,4412,0.1660230000197771,0.2903859999605629,0.34964600035891635,7.63064700004179,2.311989200006792,1,35880,0,0.0,0.0
1779643436.033012,ML-DSA,ML-DSA-65,97,7402f0467455404b9dd6bd40134dde2f,34,7368,2604,4412,0.07891799987191916,0.13581399980466813,0.18209200015917304,8.01605800006655,2.311989200006792,1,35880,0,0.0,0.0
1779643436.0935006,ML-DSA,ML-DSA-65,98,f816c01af4b940ec94f06174e9495c78,34,7368,2604,4412,0.17843300020103925,0.13783899976260727,0.37711200002377154,8.959365999999136,2.311989200006792,1,35880,0,0.0,0.0
1779643436.1562798,ML-DSA,ML-DSA-65,99,d2935ffd423e4bc8a2928249103de718,34,7368,2604,4412,0.19600099994931952,0.19775200007643434,0.4333560000304715,10.902010999870981,2.311989200006792,1,35880,0,0.0,0.0
1779643436.221756,ML-DSA,ML-DSA-65,100,452040a03c644ba4a5a562e89b9fc404,35,7369,2604,4412,1.2361430003693386,1.334332999704202,0.9826030000112951,8.656314999825554,2.311989200006792,1,35880,0,0.0,0.0
1779643436.4942,SPHINCS,SPHINCS+-SHA2-128s-simple,1,c56b4d46268243108797d0e417671c9f,34,10888,44,10476,35.52597500038246,124.25239900039742,0.19357900009708828,60.38244899991696,2.311989200006792,1,35880,0,159.99999999999997,0.0
1779643436.7643635,SPHINCS,SPHINCS+-SHA2-128s-simple,2,df0191dcdce5499eaa903c89988456ab,34,10888,44,10476,23.618188999989798,132.57864899969718,0.1909220000015921,62.874108999949385,2.311989200006792,1,36060,0,160.00000000000003,0.0
1779643437.0238845,SPHINCS,SPHINCS+-SHA2-128s-simple,3,6bca4646b5624ed0b0b09f01bdd516f5,34,10888,44,10476,23.46235200002411,123.42588100000285,0.17544199999974808,61.15055400005076,2.311989200006792,1,36060,0,150.00000000000003,0.0
