ts_unix,alg_family,alg_name,alg_type,iteration,keygen_time_ms,encaps_time_ms,decaps_time_ms,pk_bytes,ct_bytes,shared_secret_match
1779643523.2290719,ML-KEM,ML-KEM-768,pqc,50,0.011944000107177999,0.012835999768867623,0.014359000033437042,1184,1088,1
1779643523.2292233,ML-KEM,ML-KEM-1024,pqc,1,0.04204400011076359,0.021488000129465945,0.01997299978029332,1568,1568,1
1779643523.2292993,ML-KEM,ML-KEM-1024,pqc,2,0.016637000044283923,0.01747799979057163,0.019502999748510774,1568,1568,1
1779643523.2293696,ML-KEM,ML-KEM-1024,pqc,3,0.01591400041434099,0.016727999991417164,0.01909100001284969,1568,1568,1
1779643523.229454,ML-KEM,ML-KEM-1024,pqc,4,0.01722799970593769,0.01799300025595585,0.029382999855442904,1568,1568,1
1779643523.2295349,ML-KEM,ML-KEM-1024,pqc,5,0.018109999928128673,0.018188000012742123,0.01967799971680506,1568,1568,1
1779643523.2296069,ML-KEM,ML-KEM-1024,pqc,6,0.01625400000193622,0.01716999986456358,0.01923199988596025,1568,1568,1
1779643523.2296777,ML-KEM,ML-KEM-1024,pqc,7,0.016025000149966218,0.016985999991447898,0.01944899986483506,1568,1568,1
1779643523.229762,ML-KEM,ML-KEM-1024,pqc,8,0.016855000012583332,0.018116999854100868,0.02982299974974012,1568,1568,1
1779643523.229838,ML-KEM,ML-KEM-1024,pqc,9,0.01729399991745595,0.017755000044417102,0.019761999737966107,1568,1568,1
1779643523.2299113,ML-KEM,ML-KEM-1024,pqc,10,0.017039999875123613,0.018103999991581077,0.020155999663984403,1568,1568,1
1779643523.2300127,ML-KEM,ML-KEM-1024,pqc,11,0.019690000044647604,0.01889000031951582,0.01994700005525374,1568,1568,1
1779643523.2300873,ML-KEM,ML-KEM-1024,pqc,12,0.016800999674160266,0.01747699980114703,0.019753000287892064,1568,1568,1
1779643523.230159,ML-KEM,ML-KEM-1024,pqc,13,0.016464000054838834,0.01740200013955473,0.019515000076353317,1568,1568,1
1779643523.23023,ML-KEM,ML-KEM-1024,pqc,14,0.016328000128851272,0.017188999663630966,0.01941700020324788,1568,1568,1
1779643523.230301,ML-KEM,ML-KEM-1024,pqc,15,0.01610000026630587,0.0172159998328425,0.019645000065793283,1568,1568,1
1779643523.230371,ML-KEM,ML-KEM-1024,pqc,16,0.016042000424931757,0.017117999959737062,0.019485999928292586,1568,1568,1
1779643523.2304418,ML-KEM,ML-KEM-1024,pqc,17,0.015979000181687297,0.01715200005492079,0.019901000086974818,1568,1568,1
1779643523.2305121,ML-KEM,ML-KEM-1024,pqc,18,0.016186000266316114,0.01730799976940034,0.01965199999176548,1568,1568,1
1779643523.2305818,ML-KEM,ML-KEM-1024,pqc,19,0.01603700002306141,0.017078999917430338,0.01965200044651283,1568,1568,1
1779643523.2306519,ML-KEM,ML-KEM-1024,pqc,20,0.016048000361479353,0.01720000000204891,0.01982200001293677,1568,1568,1
1779643523.230762,ML-KEM,ML-KEM-1024,pqc,21,0.02067600007649162,0.019855000118695898,0.020757000129378866,1568,1568,1
1779643523.2308376,ML-KEM,ML-KEM-1024,pqc,22,0.01675099974818295,0.017830000160756754,0.02003800000238698,1568,1568,1
1779643523.2309093,ML-KEM,ML-KEM-1024,pqc,23,0.01608499997018953,0.017508000382804312,0.019863000034092693,1568,1568,1
1779643523.2309902,ML-KEM,ML-KEM-1024,pqc,24,0.0162090000230819,0.01764900025591487,0.026234999950247584,1568,1568,1
1779643523.2310781,ML-KEM,ML-KEM-1024,pqc,25,0.019933999737986596,0.019823999991785968,0.02106000010826392,1568,1568,1
1779643523.2311523,ML-KEM,ML-KEM-1024,pqc,26,0.016621000213490333,0.017564999780006474,0.019753999822569313,1568,1568,1
1779643523.2312472,ML-KEM,ML-KEM-1024,pqc,27,0.027337000119587174,0.020572000266838586,0.020294000023568515,1568,1568,1
1779643523.2313223,ML-KEM,ML-KEM-1024,pqc,28,0.016957999832811765,0.017735999790602364,0.019859000076394295,1568,1568,1
1779643523.231394,ML-KEM,ML-KEM-1024,pqc,29,0.01648299985390622,0.01747999976942083,0.01983299989660736,1568,1568,1
1779643523.2314649,ML-KEM,ML-KEM-1024,pqc,30,0.0162080000336573,0.017361000118398806,0.019687000076373806,1568,1568,1
1779643523.2315683,ML-KEM,ML-KEM-1024,pqc,31,0.01995999991777353,0.01921600005516666,0.020323999706306495,1568,1568,1
1779643523.2316437,ML-KEM,ML-KEM-1024,pqc,32,0.016617000255791936,0.01772599989635637,0.02009999980145949,1568,1568,1
1779643523.231716,ML-KEM,ML-KEM-1024,pqc,33,0.01650000012887176,0.017427999864594312,0.019755000266741263,1568,1568,1
1779643523.231787,ML-KEM,ML-KEM-1024,pqc,34,0.01631299983273493,0.017349000245303614,0.01961599991773255,1568,1568,1
1779643523.2318578,ML-KEM,ML-KEM-1024,pqc,35,0.016370000139431795,0.01741400001264992,0.019519000034051714,1568,1568,1
1779643523.2319279,ML-KEM,ML-KEM-1024,pqc,36,0.016076000065368135,0.01696700019238051,0.019657999928313075,1568,1568,1
1779643523.231998,ML-KEM,ML-KEM-1024,pqc,37,0.01625400000193622,0.017237000065506436,0.01951200010807952,1568,1568,1
1779643523.2320685,ML-KEM,ML-KEM-1024,pqc,38,0.016305999906762736,0.017225000192411244,0.019530999907146906,1568,1568,1
1779643523.2321405,ML-KEM,ML-KEM-1024,pqc,39,0.016669000160618452,0.017831000150181353,0.019982000139862066,1568,1568,1
1779643523.2322125,ML-KEM,ML-KEM-1024,pqc,40,0.016352999864466256,0.017405999642505776,0.019482999960018788,1568,1568,1
1779643523.2323189,ML-KEM,ML-KEM-1024,pqc,41,0.019752000298467465,0.018682999780139653,0.019796999822574435,1568,1568,1
1779643523.2323961,ML-KEM,ML-KEM-1024,pqc,42,0.01664299998083152,0.017519999801152153,0.019716999759111786,1568,1568,1
1779643523.2324674,ML-KEM,ML-KEM-1024,pqc,43,0.01614399980098824,0.017303000277024694,0.01952799993887311,1568,1568,1
1779643523.2325382,ML-KEM,ML-KEM-1024,pqc,44,0.01606499972695019,0.0173700000232202,0.019856000108120497,1568,1568,1
1779643523.2326093,ML-KEM,ML-KEM-1024,pqc,45,0.016249000054813223,0.017253999885724625,0.019736000012926525,1568,1568,1
1779643523.23268,ML-KEM,ML-KEM-1024,pqc,46,0.016105000213428866,0.017221999769390095,0.019862999579345342,1568,1568,1
1779643523.2327511,ML-KEM,ML-KEM-1024,pqc,47,0.01608100001249113,0.017471999854024034,0.019519999568728963,1568,1568,1
1779643523.2328215,ML-KEM,ML-KEM-1024,pqc,48,0.01603600003363681,0.017252999896300025,0.01986699999179109,1568,1568,1
1779643523.2328925,ML-KEM,ML-KEM-1024,pqc,49,0.015996000001905486,0.01716599990686518,0.019887000235030428,1568,1568,1
1779643523.232963,ML-KEM,ML-KEM-1024,pqc,50,0.016078000044217333,0.01716899987513898,0.019750000319618266,1568,1568,1
