ts_unix,alg_family,alg_name,seq,msg_id,body_bytes,stanza_bytes,pk_b64_bytes,sig_b64_bytes,sign_time_ms,rtt_ms,receipt_ok
1770222584.7127016,ML-DSA,ML-DSA-65,67,f9e7673894af4311bd89ac42469a37b7,34,7368,2604,4412,0.07338099999287806,1.700604999996358,1
1770222584.7662709,ML-DSA,ML-DSA-65,68,51d0fe9245a24663960ea3e873eb00bd,34,7368,2604,4412,0.07631799985574617,2.880679000099917,1
1770222584.818777,ML-DSA,ML-DSA-65,69,17e316a7fa314263ba03496d62b48c85,34,7368,2604,4412,0.24473100006616733,1.7595150000033755,1
1770222584.872446,ML-DSA,ML-DSA-65,70,c8d63b09191746a3b806ec66a28ced16,34,7368,2604,4412,0.1424470001438749,2.918052000040916,1
1770222584.9249768,ML-DSA,ML-DSA-65,71,db455a0139f243c0a3017389dcde8a37,34,7368,2604,4412,0.07494300007238053,1.9082329999946523,1
1770222584.9785676,ML-DSA,ML-DSA-65,72,cd976ac1d1bf4137b37bf8cfb9a49168,34,7368,2604,4412,0.12416599997777666,2.859629000113273,1
1770222585.0314465,ML-DSA,ML-DSA-65,73,fb4e523a528144c7a3006fe02dac7e18,34,7368,2604,4412,0.09096799999497307,2.1560899999713,1
1770222585.085057,ML-DSA,ML-DSA-65,74,bac9669e170a435082d1a03fdccc0b2e,34,7368,2604,4412,0.10115700001733785,2.904044000160866,1
1770222585.1375773,ML-DSA,ML-DSA-65,75,7b2251d58972466e96f595e87c579264,34,7368,2604,4412,0.11852700004055805,1.8655090000265773,1
1770222585.1911032,ML-DSA,ML-DSA-65,76,964ebcf668454347bdbb7205d39100f9,34,7368,2604,4412,0.12378000019452884,2.796013000079256,1
1770222585.2435353,ML-DSA,ML-DSA-65,77,8172067851c642d5b6c93d78b7f08871,34,7368,2604,4412,0.15880799992373795,1.8199360001744935,1
1770222585.297256,ML-DSA,ML-DSA-65,78,0bdeb4dc050842479f6b5a7178420b6e,34,7368,2604,4412,0.2580269999725715,2.8657809998549055,1
1770222585.349758,ML-DSA,ML-DSA-65,79,4334c36f3cec4f81b215c73d588ad31c,34,7368,2604,4412,0.2741799999057548,1.7305799999576266,1
1770222585.4042096,ML-DSA,ML-DSA-65,80,5a1e167b623c4ae2bc34962b7ba2a8a7,34,7368,2604,4412,0.08385599994653603,3.723993999983577,1
1770222585.4574873,ML-DSA,ML-DSA-65,81,720628cb74f1416283bba3a4207c0d69,34,7368,2604,4412,0.2009390000239364,2.406587999985277,1
1770222585.5115387,ML-DSA,ML-DSA-65,82,40424eeb9ee64af6b247401e3696f264,34,7368,2604,4412,0.1074479998806055,3.3060220000606932,1
1770222585.5643282,ML-DSA,ML-DSA-65,83,ced57c23ed3c4967b3e9df857dcc1eb6,34,7368,2604,4412,0.12617399988812394,2.0444770000267454,1
1770222585.6184866,ML-DSA,ML-DSA-65,84,9adeaadc159441e4bf88e5bfe05ffbf8,34,7368,2604,4412,0.09327299994765781,3.404328999977224,1
1770222585.6715307,ML-DSA,ML-DSA-65,85,7361463b149d4fbc8f449ae47c6908ca,34,7368,2604,4412,0.10024699986388441,2.2993469999619265,1
1770222585.725342,ML-DSA,ML-DSA-65,86,69bfcb0d01b143a9b88d9e0e5fd8e842,34,7368,2604,4412,0.12074300002495875,3.116418999979942,1
1770222585.778353,ML-DSA,ML-DSA-65,87,df82ce85ff354ac5b06ad65f5de6d2ae,34,7368,2604,4412,0.1613800000086485,2.162659000077838,1
1770222585.8321264,ML-DSA,ML-DSA-65,88,616bfc7076624cd6905ee88bd0d71341,34,7368,2604,4412,0.17410199984624342,2.962082000067312,1
